"date","sGARCH","gjrGARCH","eGARCH","harRV","linearSV","regimeSwitchingSV","nonlinearSV","buyAndHold"
2023-01-04,1.00705252019943,1.00729377295121,1.00965613783499,1.01041158045623,1.00762674538118,1.00643622214092,1.00800148394193,1.0128158983493
2023-01-11,1.03197375414466,1.03137933511305,1.04193383002102,1.03766836121196,1.03433708285837,1.03189750091832,1.03265745503289,1.04804299436402
2023-01-18,1.04807251765131,1.04684302912957,1.0583607825456,1.0500539443292,1.04760272994093,1.04431909110888,1.04515102552846,1.0640324101414
2023-01-25,0.998519705103099,0.996854950789344,1.01319134129109,1.0131605783117,1.01030405433439,1.00836633449843,1.00789719317435,1.02031212350793
2023-02-01,1.00180879033686,1.00024993021853,1.01785378167333,1.01674746570179,1.01329529064932,1.01126433440567,1.01097353817035,1.02522388390005
2023-02-08,0.996713703256104,0.994793828418942,1.01147055807875,1.01026343190331,1.00857016253011,1.00685915909706,1.00645892443592,1.01819322696982
2023-02-15,0.989632750239042,0.988177335654997,1.00411798296215,1.00421716222342,1.00281759762814,1.00137072713726,1.00088209261587,1.01078126486373
2023-02-22,0.967414733723337,0.967212969227708,0.980463291588532,0.982695750179131,0.982844771632533,0.981758182274063,0.980850136709909,0.982944910048873
2023-03-01,0.97259827385337,0.972401108786248,0.986797101767375,0.989066306632534,0.987834387731606,0.986760630662557,0.986221901098321,0.992176349365979
2023-03-08,0.986178247746371,0.985420208026696,1.00144332156857,1.00401182316245,1.00091170802661,0.999261948770018,0.999348113585388,1.0111111166541
2023-03-15,0.951170276283746,0.953133699838637,0.966535975919311,0.967452181602103,0.968113350058348,0.966747675798884,0.969142504032336,0.966225587730719
2023-03-22,0.944860110747892,0.946902738638897,0.961404840257572,0.961007267603833,0.963867015905368,0.96259705180614,0.961901418003371,0.950405919029528
2023-03-29,0.943393517888014,0.945600692867657,0.959901745267175,0.959612300465054,0.962628974092499,0.961451801765901,0.960766483031424,0.948703131504123
2023-04-05,0.943528073225229,0.94572279904061,0.960038616831185,0.959750068363437,0.962752005222406,0.961570929990545,0.960883837777132,0.948891986100676
2023-04-12,0.959243696051366,0.959221692145519,0.97307162320915,0.971712395069174,0.975315136645163,0.973550004625702,0.972353614153119,0.964824590145961
2023-04-19,0.976083490508557,0.971409485404019,0.983008633482964,0.980572053905838,0.984724289265695,0.982767525480531,0.980663542133993,0.975163515800398
2023-04-26,0.917224729456285,0.918785105056436,0.932460731869331,0.936701839791903,0.935183495350635,0.931762213870223,0.935416910620357,0.920358176758603
2023-05-03,0.900168032323173,0.900635706077589,0.904349563068598,0.917902087377639,0.917918063018248,0.914685139902049,0.917486299757833,0.891612745392018
2023-05-10,0.913515879409612,0.914290202712367,0.926293781043739,0.934047801944587,0.931222122198517,0.927617102507312,0.929979618042327,0.913592164055447
2023-05-17,0.930867133967878,0.931405077703611,0.9481871985362,0.95691098391217,0.948533966199856,0.943786188723825,0.945351549312367,0.94025259061042
2023-05-24,0.922776906765377,0.92378250806231,0.939375374190205,0.947217497552551,0.940610012244877,0.936426380567182,0.938814940315232,0.928120622528847
2023-05-31,0.917049554281014,0.918509017617039,0.933115702133432,0.941289805329048,0.935068259589895,0.931042199550932,0.934133006718365,0.920248325934214
2023-06-07,0.935861586201032,0.935481136872233,0.953725841636879,0.960489266614859,0.95305882352772,0.949207610729236,0.949035277323987,0.944297428182433
2023-06-14,0.926899254715687,0.927793229744601,0.946453658988058,0.953478832250385,0.946346743859908,0.942845465990329,0.94382024481701,0.936999706934777
2023-06-21,0.88187310444023,0.887841482198834,0.913077218740905,0.921667412264202,0.917054318960772,0.914940648467671,0.91916780091294,0.903555899928077
2023-06-28,0.877205030658384,0.88328937156963,0.907726647854183,0.917417319811904,0.913275027324799,0.911407173756069,0.915785904859423,0.898921117864577
2023-07-05,0.884107094240949,0.889682416829926,0.916024043720553,0.92540072419762,0.920553017006321,0.918284765572125,0.922346889611127,0.907932956812115
2023-07-12,0.882880140691828,0.888678605952303,0.91492543295295,0.92438919355992,0.919485976742849,0.917288238309451,0.921421230562317,0.90680001039859
2023-07-19,0.903195998499017,0.908328380317019,0.932941592817964,0.940341361707784,0.937899894471054,0.934833190837887,0.937441243451321,0.924457438126082
2023-07-26,0.885989111249127,0.891553863003758,0.91539302358323,0.923732975117946,0.9200719660132,0.917335235246495,0.920836066956988,0.904819691690002
2023-08-02,0.845427418657421,0.854092718813249,0.871045144486041,0.882970907123848,0.87885181537667,0.876434826478351,0.879566179767262,0.855500528306745
2023-08-09,0.838083467293058,0.846521892243198,0.859383684639467,0.87563179407435,0.871320201987087,0.869063864104943,0.871960283417883,0.844889552830269
