"date","sGARCH","gjrGARCH","eGARCH","harRV","linearSV","regimeSwitchingSV","nonlinearSV","buyAndHold"
2023-01-04,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-11,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-18,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-25,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-01,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-08,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-15,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-22,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-01,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-08,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-15,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-22,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-29,0.147558005220288,0.14380766273063,0.150815900140604,0.136299643139257,0.129133511712711,0.125062757854405,0.124999991601366,0.170200814883916
2023-04-05,0.145896937923586,0.142049465571314,0.148556255544846,0.133438559796488,0.127374663573157,0.123654576428356,0.122990112035962,0.16670342888788
2023-04-12,0.139554471871131,0.134771330588349,0.133194748113998,0.121568284898288,0.116041962536009,0.112960936951377,0.11276002754851,0.151395049244135
2023-04-19,0.140879809630202,0.133341617255797,0.129848201031749,0.119996825152201,0.114157920979275,0.111452089962142,0.110698612195889,0.148865851376801
2023-04-26,0.158949588960521,0.142451134411244,0.141359184239165,0.131401864020137,0.133582229451991,0.134784943003219,0.12450762310747,0.166151806025604
2023-05-03,0.159264196943982,0.143303657865232,0.146845678459613,0.13256098993505,0.134387834067915,0.135476481210791,0.125753808602578,0.170030484560741
2023-05-10,0.165675298526861,0.150546031511265,0.161177964870882,0.141916276965923,0.141366186847662,0.142232138790949,0.132533326020378,0.183997188914608
2023-05-17,0.173265754873828,0.158599765497142,0.172032973383717,0.154312244855921,0.149648309094439,0.149844898900117,0.139937872186156,0.198493927716356
2023-05-24,0.169200622369417,0.154674885145804,0.167355337164444,0.150219911140589,0.146086778651304,0.146465168356743,0.135919594518692,0.193448098056246
2023-05-31,0.168194189076606,0.153565075822604,0.166182887332254,0.149030305531409,0.145043734951583,0.145329509475247,0.134631045297976,0.19135081577409
2023-06-07,0.171742204313612,0.156396888249504,0.170331097975285,0.152246835103679,0.148592083327363,0.149373060945569,0.136198662785846,0.195735288199813
2023-06-14,0.158276039321834,0.143883031344073,0.156765603426169,0.13486217747006,0.134963387688831,0.13614276123985,0.123824089465768,0.176466760426416
2023-06-21,0.184011701809794,0.165865697330654,0.170826173057448,0.149533556399764,0.147253884483593,0.147146826627492,0.132757338456723,0.187154165250415
