"Model","N","Sharpe","Annual_Return","Annual_Volatility","Max_Drawdown","CER","Capital_01pct","Breach_Rate_01","Capital_05pct","Breach_Rate_05"
"eGARCH",153,-0.348353190581726,-0.0612937091190363,0.175952770855005,0.423251494865339,-0.107732775476367,6.97595639003503,0.0130718954248366,4.56810258510148,0.0915032679738562
"gjrGARCH",153,-0.390196872277466,-0.0640606838784772,0.164175287988788,0.4209678292558,-0.104490971657779,7.14306321049575,0.0130718954248366,4.74524338027354,0.0784313725490196
"harRV",153,-0.397126899360127,-0.0670800762570578,0.168913454024749,0.428858866451413,-0.109877708682914,7.08266788881924,0.0130718954248366,4.50200278057148,0.0849673202614379
"BuyAndHold",153,-0.429642569162253,-0.095656723867626,0.222642565549648,0.549172705397411,-0.17001129185942,10.4460024466995,0.0065359477124183,5.1158553286741,0.0522875816993464
"sGARCH",153,-0.43957819570173,-0.0735278752171424,0.167269159244272,0.439481570292021,-0.115496332668571,7.11324541834874,0.0130718954248366,4.6768395256719,0.0849673202614379
"linearSV",153,-0.45325311315748,-0.0712529849357374,0.157203520212736,0.422732518600311,-0.108322405086652,7.84094336688694,0.0065359477124183,4.93624385616396,0.065359477124183
"regimeSwitchingSV",153,-0.461175011572001,-0.0690896679140797,0.149812253874239,0.412874544238116,-0.102755235030399,8.18796880431487,0.0065359477124183,5.11160310362419,0.0588235294117647
"nonlinearSV",153,-0.502847090506585,-0.0749261036460684,0.149003752951191,0.428705759968206,-0.108229281236378,8.24627468616311,0.0065359477124183,5.12899470180472,0.0588235294117647
