Date,GCPU_baseline,y_IQQH_EUR,y_ICLN,y_TAN,y_stoxx,y_Global_Clean_Index,CPU_EU_step,CPU_EU_spline,GEPU_current,GEPU_ppp,l_t,c_t,itraxx_robustness,rate_10y,Term_Spread,log_VSTOXX,TTF_return,Brent_return,COVID_dummy,Energy_crisis_dummy
2016-01-13,93.44739103798285,-8.750427709056495,-10.350248836466802,-17.862593912127167,-2.4794199125026672,,0.2525937504425556,,144.52665766496807,139.96425403713414,204.76928433652554,,,1.11450059178444,1.26065059178444,326.9911085968026,1.4315921825067246,-5.062916124134498,0,0
2016-01-20,43.14949550565428,-11.656931200722266,-6.469321444313181,-6.956787365384631,-6.547708295444643,,0.2525937504425556,,144.52665766496807,139.96425403713414,197.9621206397625,-6.807163696763041,-0.23597159999999917,1.11450059178444,1.26065059178444,333.70072442763615,-6.514693043061204,-17.041281311723864,0,0
2016-01-27,56.22965492534179,7.120504149121087,3.645616467678825,6.026935605079942,6.113354206830834,,0.2525937504425556,,144.52665766496807,139.96425403713414,184.0549633397487,-13.907157300013807,-0.6119803999999931,1.11450059178444,1.26065059178444,355.8579976079677,-10.205741854776695,-9.422609304116136,0,0
2016-02-03,83.49771820579537,-2.1895324335206467,2.0083260152097493,-1.3082871208957236,-3.1236391546487496,,0.2525937504425556,,144.52665766496807,139.96425403713414,177.4952350911674,-6.559728248581308,0.3654674,1.11450059178444,1.26065059178444,332.44315214769864,3.734953505904137,20.192816183344142,0,0
2016-02-10,153.9775651706734,-6.871862997904832,-7.527825439163505,-12.802052253156493,-3.2966760804745476,,0.06721766670604111,0.06798005996377299,147.48300213264932,144.826617455293,172.4550719534605,-5.040163137706884,-0.6151566000000059,1.04183095663421,1.225402385205639,342.5463887221656,-2.747425555224847,1.7131706955487491,0,0
2016-02-17,190.0988011412122,4.517750272401777,4.439688875749015,4.168225071532472,5.20886859790517,,0.06721766670604111,0.061823251429266785,147.48300213264932,144.826617455293,158.10384379124025,-14.351228162220252,-0.6231160999999901,1.04183095663421,1.225402385205639,351.0135490096411,-7.576398630448988,-8.8416147821603,0,0
2016-02-24,94.58947598233243,-0.4868529378647013,0.9603989496979493,1.1596934094201483,-1.644252002983304,,0.06721766670604111,0.04414191233840371,147.48300213264932,144.826617455293,162.13664832993743,4.032804538697178,0.47420899999998767,1.04183095663421,1.225402385205639,341.7670944355044,-0.7960824713292958,11.372623496076928,0,0
2016-03-02,38.06901828439257,7.043279199974717,4.096542390617408,6.065065597922592,5.268549567066394,,0.06721766670604111,0.017828182248124425,147.48300213264932,144.826617455293,157.69147207285403,-4.4451762570834035,-0.13015609999999356,1.04183095663421,1.225402385205639,350.007090219004,1.3786407100786047,-5.28634895570681,0,0
2016-03-09,90.24966048275272,1.6753015495529544,2.3796991544168034,1.6556862459661037,0.9337648863768422,,-0.009404829718575775,-0.014225799284630422,159.28977291016236,160.7291506237977,160.1405740736836,2.4491020008295834,0.8117713000000037,0.930695301153468,1.159219110677278,330.04300050760185,1.3435190755687998,14.403162725838925,0,0
2016-03-16,101.3111950843768,0.1702361262518881,2.6521219757833947,0.24598590434030676,0.5941529021151304,,-0.009404829718575775,-0.04912789270292011,159.28977291016236,160.7291506237977,162.3340817603092,2.193507686625594,0.24566649999999868,0.930695301153468,1.159219110677278,333.4370020906277,-1.1528454426708468,10.133924712166875,0,0
