"Model","annual_return","annual_volatility","sharpe","max_drawdown","CER"
"sGARCH",-0.0735278752171424,0.167269159244272,-0.43957819570173,0.439481570292021,-0.115496332668571
"gjrGARCH",-0.0640606838784772,0.164175287988788,-0.390196872277466,0.4209678292558,-0.104490971657779
"eGARCH",-0.0612937091190363,0.175952770855005,-0.348353190581726,0.423251494865339,-0.107732775476367
"linearSV",-0.0712529849357374,0.157203520212736,-0.45325311315748,0.422732518600311,-0.108322405086652
"regimeSwitchingSV",-0.0690896679140797,0.149812253874239,-0.461175011572001,0.412874544238116,-0.102755235030399
"nonlinearSV",-0.0749261036460684,0.149003752951191,-0.502847090506585,0.428705759968206,-0.108229281236378
"harRV",-0.0670800762570578,0.168913454024749,-0.397126899360127,0.428858866451413,-0.109877708682914
