"Model","statistic","observed","predictive_mean","predictive_p05","predictive_p95","posterior_predictive_p_upper"
"nonlinearSV","mean_squared_return",12.3658240725822,12.3959658481228,9.71518493400049,15.9518769429254,0.456
"nonlinearSV","q95_squared_return",47.6347524219384,51.5880860885419,38.9652314717173,67.3871457863902,0.662
"nonlinearSV","mean_absolute_return",2.48114461150403,2.46432768928281,2.23696027425499,2.67732932615862,0.454
"nonlinearSV","q95_absolute_return",6.90163191526452,7.15802669280065,6.24201827784425,8.20881292733454,0.66
"nonlinearSV","acf_squared_lag_1",0.437131189205018,0.145678639926626,0.0240849028263582,0.301383717805939,0.004
"nonlinearSV","acf_squared_lag_2",0.1868421666514,0.115329310199309,0.0164553510042158,0.246933603832625,0.17
"nonlinearSV","acf_squared_lag_3",0.141116320609011,0.096157157183573,0.00331606018174064,0.224596128257034,0.232
"nonlinearSV","acf_squared_lag_4",0.088989911937345,0.0813773800913081,-0.00283644800191029,0.205076944060544,0.372
"nonlinearSV","acf_squared_lag_5",0.0742517745193233,0.0718948615401735,-0.00682043005266719,0.189670341744096,0.422
"nonlinearSV","acf_squared_lag_6",0.0724418068666196,0.0652810850275739,-0.00587850388938034,0.175195688686273,0.372
"nonlinearSV","acf_squared_lag_7",0.0448904665599662,0.0656395563600974,-0.0100580354672615,0.187527937859067,0.554
"nonlinearSV","acf_squared_lag_8",0.0325424421169757,0.0579575334769546,-0.0101743087621524,0.166386843770344,0.61
"nonlinearSV","acf_squared_lag_9",0.0282234101891954,0.0597102215445881,-0.0149403927503649,0.174289682614125,0.636
"nonlinearSV","acf_squared_lag_10",0.0503991432696838,0.0543531250204019,-0.0159491866142046,0.166371722927717,0.46
"linearSV","mean_squared_return",12.3658240725822,25.8704205491595,11.2046476165391,61.5955036261019,0.85
"linearSV","q95_squared_return",47.6347524219384,51.8896313690645,39.448008684434,67.6300095398091,0.662
"linearSV","mean_absolute_return",2.48114461150403,2.57790643493309,2.30820321042252,2.8883839630648,0.672
"linearSV","q95_absolute_return",6.90163191526452,7.17975655403679,6.28075633749649,8.22350049005911,0.662
"linearSV","acf_squared_lag_1",0.437131189205018,0.160077582559225,-0.00154220372071852,0.46157402654794,0.078
"linearSV","acf_squared_lag_2",0.1868421666514,0.073172515875332,-0.00355674241848302,0.261398534289607,0.106
"linearSV","acf_squared_lag_3",0.141116320609011,0.0524295701023821,-0.00379887428692071,0.193061549378141,0.108
"linearSV","acf_squared_lag_4",0.088989911937345,0.02633745325025,-0.00817751401020327,0.128945188495784,0.102
"linearSV","acf_squared_lag_5",0.0742517745193233,0.0315952094351935,-0.00760667888898333,0.152799585689519,0.14
"linearSV","acf_squared_lag_6",0.0724418068666196,0.0270486979590087,-0.00868773473592175,0.134904913257186,0.124
"linearSV","acf_squared_lag_7",0.0448904665599662,0.0162169409247257,-0.0099053702847675,0.0892210149574253,0.154
"linearSV","acf_squared_lag_8",0.0325424421169757,0.017810104716569,-0.0120747468810095,0.0987045205056056,0.214
"linearSV","acf_squared_lag_9",0.0282234101891954,0.0150144795262056,-0.0108919222217243,0.101006700532626,0.196
"linearSV","acf_squared_lag_10",0.0503991432696838,0.0124081590406984,-0.0125025027221105,0.0795797793473734,0.12
"regimeSwitchingSV","mean_squared_return",12.3658240725822,25.255206577888,7.93736064092343,67.1027717925068,0.708
"regimeSwitchingSV","q95_squared_return",47.6347524219384,54.4664962599037,27.5856974726651,94.7782817253061,0.51
"regimeSwitchingSV","mean_absolute_return",2.48114461150403,2.58911078973505,1.97305223300267,3.48914876714255,0.506
"regimeSwitchingSV","q95_absolute_return",6.90163191526452,7.21633002143915,5.25220503250218,9.73535242621145,0.51
"regimeSwitchingSV","acf_squared_lag_1",0.437131189205018,0.155000960883097,0.00337642260878706,0.452132883988572,0.062
"regimeSwitchingSV","acf_squared_lag_2",0.1868421666514,0.0827183502160361,-0.00067438466763608,0.281932745664837,0.122
"regimeSwitchingSV","acf_squared_lag_3",0.141116320609011,0.0653203146931512,-0.00287222881205794,0.219718666177819,0.144
"regimeSwitchingSV","acf_squared_lag_4",0.088989911937345,0.0385185897041285,-0.00778353022027064,0.165795530410709,0.154
"regimeSwitchingSV","acf_squared_lag_5",0.0742517745193233,0.0346850981308845,-0.00838738391507766,0.143508971246726,0.164
"regimeSwitchingSV","acf_squared_lag_6",0.0724418068666196,0.0261097747285465,-0.00915440612477294,0.115924488349622,0.132
"regimeSwitchingSV","acf_squared_lag_7",0.0448904665599662,0.0219802252303282,-0.0101495441083238,0.10951384505355,0.192
"regimeSwitchingSV","acf_squared_lag_8",0.0325424421169757,0.0235226206776463,-0.011426379544744,0.128501940075269,0.25
"regimeSwitchingSV","acf_squared_lag_9",0.0282234101891954,0.0180955238600481,-0.0111964500917156,0.0941696369612223,0.258
"regimeSwitchingSV","acf_squared_lag_10",0.0503991432696838,0.0173764057067235,-0.0126539998240683,0.107271870585891,0.144
