"Model","N","LPS_overall","LPS_CPU_low","LPS_CPU_high","QLIKE","FZ0_mean","p_UC","p_CC","p_DQ","annual_return","annual_volatility","sharpe","max_drawdown","CER"
"eGARCH",153,-2.57169567792045,-2.33536943971743,-2.65535098347904,1.53059788579223,2.01931404438893,0.0338276445286067,0.100880927914351,0.759688449961118,-0.0612937091190363,0.175952770855005,-0.348353190581726,0.423251494865339,-0.107732775476367
"gjrGARCH",153,-2.54695659572901,-2.3337357307387,-2.62243300811497,1.44738846459546,1.98701885062739,0.134800735723335,0.326324965847801,0.87935485165014,-0.0640606838784772,0.164175287988788,-0.390196872277466,0.4209678292558,-0.104490971657779
"harRV",153,-2.53874034269438,-2.31235669935051,-2.61887614564796,1.45038583779546,1.9866803948638,0.0698850035780769,0.192091847455504,0.724798235384016,-0.0670800762570578,0.168913454024749,-0.397126899360127,0.428858866451413,-0.109877708682914
"linearSV",153,-2.5366466238009,-2.33332744448135,-2.60861801471047,1.43254402218328,1.99255213310052,0.404201997539044,0.645568269192432,0.867493133402631,-0.0712529849357374,0.157203520212736,-0.45325311315748,0.422732518600311,-0.108322405086652
"nonlinearSV",153,-2.53471477488513,-2.35503865383455,-2.5983169416287,1.4289739617273,2.02408040679847,0.625713592035536,0.734657045052237,0.431845730620521,-0.0749261036460684,0.149003752951191,-0.502847090506585,0.428705759968206,-0.108229281236378
"regimeSwitchingSV",153,-2.53490707938992,-2.35259589308229,-2.59944201259616,1.44086377553252,1.98690525369162,0.625713592035536,0.734657045052237,0.760474164050903,-0.0690896679140797,0.149812253874239,-0.461175011572001,0.412874544238116,-0.102755235030399
"sGARCH",153,-2.55319226120892,-2.34509188488759,-2.62685611123417,1.45538048974177,2.07615479593776,0.0698850035780769,0.192091847455504,0.665119772068561,-0.0735278752171424,0.167269159244272,-0.43957819570173,0.439481570292021,-0.115496332668571
