"Model","N","LPS_overall","LPS_CPU_low","LPS_CPU_high"
"sGARCH",153,-2.55319226120892,-2.34509188488759,-2.62685611123417
"gjrGARCH",153,-2.54695659572901,-2.3337357307387,-2.62243300811497
"eGARCH",153,-2.57169567792045,-2.33536943971743,-2.65535098347904
"linearSV",153,-2.5366466238009,-2.33332744448135,-2.60861801471047
"regimeSwitchingSV",153,-2.53490707938992,-2.35259589308229,-2.59944201259616
"nonlinearSV",153,-2.53471477488513,-2.35503865383455,-2.5983169416287
"harRV",153,-2.53874034269438,-2.31235669935051,-2.61887614564796
