"Model","elpd_diff","se_diff","elpd_loo","p_loo","stacking_weight","n_high_pareto_k","max_pareto_k","moment_matched"
"Linear SV (g_theta = 0)",0,0,-1251.73850812845,37.1938848379205,0.55638460583566,3,0.747201165088143,FALSE
"Nonlinear SV",-0.525551758767651,2.93546272614812,-1252.26405988722,46.278737895917,0.44361539416434,1,0.755763302551179,FALSE
