"input","z","raw_value","median","q05","q95"
"y_positive",-2.5,-3.91509040554488,0.176912527294256,-0.242654883771309,0.639666432886551
"y_positive",-2.375,-3.65450627632906,0.173537546065547,-0.235786604481151,0.627385523661408
"y_positive",-2.25,-3.39392214711324,0.170526320710625,-0.224211650975286,0.609672152882255
"y_positive",-2.125,-3.13333801789742,0.165695748229114,-0.218454128454388,0.590690372114106
"y_positive",-2,-2.8727538886816,0.158718791338399,-0.211431963970638,0.581746739833863
"y_positive",-1.875,-2.61216975946579,0.155132268125075,-0.20812112022408,0.564316480486266
"y_positive",-1.75,-2.35158563024997,0.148191946026619,-0.201671501976457,0.543564439732595
"y_positive",-1.625,-2.09100150103415,0.14201857656396,-0.195857970436131,0.519879800276815
"y_positive",-1.5,-1.83041737181833,0.133898525403134,-0.191676658762335,0.496978590031869
"y_positive",-1.375,-1.56983324260251,0.126455925312176,-0.182867194939198,0.468136362308582
"y_positive",-1.25,-1.30924911338669,0.11772898594947,-0.182573948396546,0.43951604196746
"y_positive",-1.125,-1.04866498417088,0.108613654109635,-0.1735007749794,0.404873892705183
"y_positive",-1,-0.788080854955058,0.097824894953671,-0.169713031884696,0.378404343086122
"y_positive",-0.875,-0.52749672573924,0.082644010025838,-0.158640090071098,0.352394014514157
"y_positive",-0.75,-0.266912596523421,0.0708572622802841,-0.15337327742146,0.326509244924954
"y_positive",-0.625,-0.00632846730760273,0.0529094550527226,-0.149152109684342,0.295526116538378
"y_positive",-0.5,0.254255661908215,0.0401410567719575,-0.150552447064188,0.264927561750119
"y_positive",-0.375,0.514839791124034,0.0235737156449714,-0.1527871897603,0.242438176792585
"y_positive",-0.25,0.775423920339852,0.00929010325846819,-0.162251624806233,0.206076478204191
"y_positive",-0.125,1.03600804955567,-0.00400168367135438,-0.175716012090584,0.180662703214425
"y_positive",0,1.29659217877149,-0.0161596251156923,-0.19638452345175,0.162914489047959
"y_positive",0.125,1.55717630798731,-0.0248065477490425,-0.216049125479882,0.153173749930467
"y_positive",0.25,1.81776043720313,-0.0347331082689598,-0.235144891361085,0.142873409092949
"y_positive",0.375,2.07834456641894,-0.0471132112035566,-0.258459734939995,0.142400977126224
