"loss","regime","n","model_A","model_B","mean_diff","statistic","p_value","better"
"negative_lps","high",113,"eGARCH","linearSV",0.0467329687685683,1.48313079480714,0.138039663643319,"linearSV"
"negative_lps","high",113,"eGARCH","regimeSwitchingSV",0.0559089708828819,1.48814593602833,0.136712411407842,"regimeSwitchingSV"
"negative_lps","high",113,"eGARCH","nonlinearSV",0.0570340418503364,1.45194418274161,0.146517126028563,"nonlinearSV"
"negative_lps","high",113,"harRV","linearSV",0.0102581309374831,0.52226989081763,0.601482429873264,"linearSV"
"negative_lps","high",113,"harRV","regimeSwitchingSV",0.0194341330517967,0.741356829961052,0.458477112420142,"regimeSwitchingSV"
"negative_lps","high",113,"harRV","nonlinearSV",0.0205592040192512,0.761911499803569,0.446112826020981,"nonlinearSV"
"negative_lps","high",113,"linearSV","regimeSwitchingSV",0.00917600211431362,1.11126826085806,0.266452896828255,"regimeSwitchingSV"
"negative_lps","high",113,"linearSV","nonlinearSV",0.0103010730817681,0.854357205649939,0.392907099691994,"nonlinearSV"
"negative_lps","high",113,"regimeSwitchingSV","nonlinearSV",0.00112507096745444,0.129930935823106,0.896621068499093,"nonlinearSV"
"negative_lps","low",40,"sGARCH","gjrGARCH",0.0113561541488877,0.558845478895528,0.576267181267414,"gjrGARCH"
"negative_lps","low",40,"sGARCH","eGARCH",0.00972244517016514,0.27481698261062,0.783456850047752,"eGARCH"
"negative_lps","low",40,"sGARCH","harRV",0.0327351855370778,1.08035819340431,0.279982704999937,"harRV"
"negative_lps","low",40,"sGARCH","linearSV",0.0117644404062424,0.438404058898324,0.661093404653429,"linearSV"
"negative_lps","low",40,"sGARCH","regimeSwitchingSV",-0.0075040081947,-0.25145259740468,0.801464206769749,"sGARCH"
"negative_lps","low",40,"sGARCH","nonlinearSV",-0.00994676894695558,-0.328205902658697,0.742755985148502,"sGARCH"
"negative_lps","low",40,"gjrGARCH","eGARCH",-0.00163370897872258,-0.0606201379835213,0.951661735225704,"gjrGARCH"
"negative_lps","low",40,"gjrGARCH","harRV",0.0213790313881901,0.969257647347868,0.332416654968496,"harRV"
"negative_lps","low",40,"gjrGARCH","linearSV",0.000408286257354645,0.0265490678310932,0.978819396905036,"linearSV"
"negative_lps","low",40,"gjrGARCH","regimeSwitchingSV",-0.0188601623435877,-0.8766633498945,0.380669519112362,"gjrGARCH"
"negative_lps","low",40,"gjrGARCH","nonlinearSV",-0.0213029230958433,-1.16307734179552,0.244798124213313,"gjrGARCH"
"negative_lps","low",40,"eGARCH","harRV",0.0230127403669127,0.862485858350165,0.388420211762509,"harRV"
"negative_lps","low",40,"eGARCH","linearSV",0.00204199523607723,0.0684212160177217,0.945450333464027,"linearSV"
"negative_lps","low",40,"eGARCH","regimeSwitchingSV",-0.0172264533648651,-0.489331005941848,0.624607373146472,"eGARCH"
"negative_lps","low",40,"eGARCH","nonlinearSV",-0.0196692141171207,-0.703003169765401,0.482053774095608,"eGARCH"
"negative_lps","low",40,"harRV","linearSV",-0.0209707451308355,-1.51290284630991,0.130304338821416,"harRV"
"negative_lps","low",40,"harRV","regimeSwitchingSV",-0.0402391937317778,-1.99081302681953,0.0465014466732027,"harRV"
"negative_lps","low",40,"harRV","nonlinearSV",-0.0426819544840334,-2.37543071889329,0.0175284826489728,"harRV"
"negative_lps","low",40,"linearSV","regimeSwitchingSV",-0.0192684486009424,-1.92909677094512,0.0537188498019066,"linearSV"
"negative_lps","low",40,"linearSV","nonlinearSV",-0.0217112093531979,-2.27571812868158,0.0228628856071882,"linearSV"
"negative_lps","low",40,"regimeSwitchingSV","nonlinearSV",-0.00244276075225559,-0.264952471486613,0.791046075872609,"regimeSwitchingSV"
