"scenario","K","tau_w_scale","true_value","posterior_median","bias","bias_frac","inside_95","divergences","max_rhat","min_ess_bulk","min_ess_tail","min_ebfmi","passes_gate","correlation","rmse"
"main",4,0.2,0.156539656318963,0.14007268432306,-0.0164669719959029,-0.105193612807927,TRUE,8,1.00167519267661,2919.68791656014,2517.28284574573,0.862509162260876,FALSE,0.950102475711645,0.0558216117354456
"main",4,0.35,0.156539656318963,0.142887700391763,-0.0136519559271997,-0.0872108464284775,TRUE,25,1.00153210074599,3052.98337486666,3046.96411068731,0.815841405136706,FALSE,0.945525867152378,0.0569435870354299
"main",4,0.5,0.156539656318963,0.144398923121719,-0.0121407331972437,-0.0775569174146254,TRUE,63,1.00166289912459,3596.96696844605,3065.34139556186,0.814624287095289,FALSE,0.943305295229579,0.0573401313553831
"main",4,0.75,0.156539656318963,0.14507333771132,-0.0114663186076434,-0.0732486507079062,TRUE,34,1.0009228757895,2656.01212414889,1841.51617873947,0.834614050746652,FALSE,0.941818715789483,0.0579011519984981
"main",4,1,0.156539656318963,0.14575046539941,-0.0107891909195529,-0.0689230523003637,TRUE,87,1.00220900532973,2236.09697047092,1729.76116219679,0.82358438343759,FALSE,0.941226729727222,0.0581513339077451
"strong",4,0.2,0.40370775992311,0.364670066454095,-0.0390376934690149,-0.096697902156872,TRUE,0,1.00093088006548,5535.41826240409,7164.10577774591,0.83169143118551,TRUE,0.938751267625514,0.140930929682442
"strong",4,0.35,0.40370775992311,0.368899303229001,-0.034808456694109,-0.0862219163207035,TRUE,0,1.0005535701735,6035.82313585562,6147.06905742405,0.838718311442092,TRUE,0.938168416287357,0.141054093811027
"strong",4,0.5,0.40370775992311,0.371906581645687,-0.0318011782774235,-0.0787727694000243,TRUE,20,1.00070092582085,4279.03183969411,2312.22489738931,0.840353721446304,FALSE,0.937719253495671,0.141248639840428
"strong",4,0.75,0.40370775992311,0.374047519921109,-0.0296602400020011,-0.0734695810842233,TRUE,4,1.00034365600512,4698.15195975309,5302.24523832925,0.845852008117198,FALSE,0.937567569318489,0.141240640923236
"strong",4,1,0.40370775992311,0.374431774483862,-0.0292759854392478,-0.0725177674187478,TRUE,6,1.00073169243971,4397.66688561074,5369.92685893283,0.857981858881723,FALSE,0.937409115629096,0.141367160972831
