"scenario","T","rep","parameter","mean_divergent","mean_all","sd_all","z_shift"
"zero",520,1,"sum_w2",0.540010870615784,0.165909837678141,0.200485616187697,1.8659744277485
"zero",520,1,"g_sd",0.0928924645288047,0.0382249340416613,0.0340548766127152,1.60527759676956
"zero",520,1,"tau_w",0.169654269253171,0.0632377764142999,0.0710603428446171,1.49755107531025
"zero",520,1,"phi",0.976545542965371,0.956881319344972,0.0244759877383432,0.803408787037197
"zero",520,1,"lp__",-1319.47850886451,-1324.00634197696,18.8481903055523,0.240226411079664
"zero",520,1,"sigma_eta",0.256014783012021,0.270598117449265,0.0687803373054576,-0.212027666751308
"zero",520,1,"nu",15.6907589996882,13.9158444264526,8.89365767468197,0.199570822057656
"zero",520,1,"h_bar",2.11560599766093,2.10053490118674,0.103716441229066,0.145310582349213
"zero",520,1,"mu",2.13943474036268,2.17831205172563,0.432926166244406,-0.0898012511006398
"zero",520,1,"max_abs_W1",1.92783641346641,1.96019778055893,0.506997481456033,-0.0638294434906918
"zero",520,2,"sum_w2",0.560372095972141,0.117664407850723,0.12905038411538,3.43050267657945
"zero",520,2,"tau_w",0.181043960533027,0.0473602369340686,0.0522127858762165,2.56036373764635
"zero",520,2,"mu",1.08302333489837,2.07566772271249,0.390680849361069,-2.54080636262954
"zero",520,2,"g_sd",0.0937068668618445,0.0306306734464106,0.0259148928011071,2.43397469939522
"zero",520,2,"phi",0.981727073911144,0.948813760367958,0.0308456032672652,1.06703419796998
"zero",520,2,"nu",10.6486311922596,21.955272813772,12.5957967371045,-0.897651959419568
"zero",520,2,"h_bar",1.96930295841007,2.04542665313344,0.0899766488996698,-0.846038340550392
"zero",520,2,"max_abs_W1",1.71782977850325,1.94899532300808,0.501228804928041,-0.46119764513137
"zero",520,2,"lp__",-1281.63488054531,-1289.82858175542,19.0886292508829,0.429245133446807
"zero",520,2,"sigma_eta",0.24543979815853,0.260653360419721,0.0738440406777174,-0.206022884467932
"zero",520,3,"sum_w2",0.516728398966279,0.156925825776037,0.122502980990898,2.93709238975151
"zero",520,3,"tau_w",0.177534056393404,0.0637995514436992,0.0524097892604225,2.17010040594825
"zero",520,3,"mu",2.19392083867916,1.73213389757321,0.389904299329988,1.18435970544434
"zero",520,3,"phi",0.986432228416642,0.963511718100347,0.0222117157931034,1.03191084064793
"zero",520,3,"g_sd",0.0707223306964173,0.0451565809511601,0.0250559386896436,1.02034691503393
"zero",520,3,"nu",32.4646914808111,24.132992459899,12.8429357631283,0.648737887861452
"zero",520,3,"max_abs_W1",1.65788348781632,1.9378213778108,0.492361972459193,-0.568561151455867
"zero",520,3,"h_bar",1.75491630555243,1.72184581082745,0.0829850638890903,0.39851140886245
"zero",520,3,"lp__",-1196.53501651254,-1201.05706895019,17.9292035844349,0.252217139280564
"zero",520,3,"sigma_eta",0.199042449805229,0.199842791861531,0.0567723106981449,-0.0140974014701964
"zero",520,4,"phi",0.945153812775954,0.857236899599443,0.0618177436604971,1.42219544050896
"zero",520,4,"mu",1.78847144699971,1.95301152076128,0.13400425539352,-1.22787200509703
"zero",520,4,"tau_w",0.117741530024133,0.0556281178446841,0.0568139009256243,1.0932784260099
"zero",520,4,"g_sd",0.0595351059790308,0.0380565159382052,0.0305087404742496,0.704014315469833
"zero",520,4,"max_abs_W1",1.6371051270456,1.93455408426911,0.497810820711078,-0.597514045192171
"zero",520,4,"sigma_eta",0.246105128262893,0.291480108899251,0.0855333959912686,-0.530494318745279
"zero",520,4,"h_bar",1.97128313489577,1.94339726681745,0.0786929026201133,0.354363190959378
"zero",520,4,"nu",33.4452993410555,29.8331084308923,14.9094971447408,0.242274496255384
"zero",520,4,"sum_w2",0.167375589328708,0.135479019768649,0.136330851568059,0.233964426930431
"zero",520,4,"lp__",-1246.65310437081,-1250.36680435275,19.5342251249924,0.190112479925796
"zero",520,5,"nu",42.633780784891,25.2224649465145,13.6461745299748,1.27591185354777
"zero",520,5,"tau_w",0.152477394025783,0.0872580113316587,0.0727558000586169,0.896414892580097
"zero",520,5,"mu",1.84358391563935,2.00658850141948,0.236385387096219,-0.689571330032277
"zero",520,5,"phi",0.936816472741321,0.907183084704235,0.0478890385967373,0.618792711347211
"zero",520,5,"max_abs_W1",1.6781432305799,1.96270354094282,0.519415262491629,-0.547847417878885
"zero",520,5,"lp__",-1284.42137890951,-1292.61145890928,20.0001310085472,0.409501317579579
"zero",520,5,"sum_w2",0.299808018782574,0.226947910758458,0.190451771258224,0.382564612252036
"zero",520,5,"g_sd",0.079915313063171,0.069812445181205,0.0508285522456568,0.198763636491914
"zero",520,5,"h_bar",2.07750092733913,2.0831089692631,0.0847217579352272,-0.0661936444739065
"zero",520,5,"sigma_eta",0.356406780841024,0.352898274069344,0.0924574951308927,0.0379472401530341
"zero",520,6,"sum_w2",0.49248879704273,0.199142685039656,0.179261695810068,1.63641267967185
"zero",520,6,"tau_w",0.172302984011766,0.0766111661143516,0.0658937310801013,1.45221429002238
"zero",520,6,"mu",1.56589133768976,1.74058703015558,0.213847931480315,-0.816915512142328
"zero",520,6,"phi",0.933013904552927,0.903981301723712,0.0445173983901324,0.652163061614358
"zero",520,6,"g_sd",0.0723471411562881,0.0567995152222383,0.0399227531985839,0.389442728478991
"zero",520,6,"sigma_eta",0.307034711694114,0.339092436081931,0.0856488692938148,-0.374292441361302
"zero",520,6,"max_abs_W1",2.13573048315945,1.95257175010344,0.507306712461225,0.361041414507206
"zero",520,6,"nu",16.4866575830561,20.0878299141653,12.3818428669114,-0.290843000498152
"zero",520,6,"lp__",-1218.95613535639,-1214.6171362296,19.9377194909595,-0.217627654394656
"zero",520,6,"h_bar",1.73231168001421,1.74993783191845,0.0916337327596865,-0.192354402395282
"zero",520,7,"phi",0.948675069568458,0.896426794804867,0.0437086903461881,1.19537497805966
"zero",520,7,"sum_w2",0.286179758144966,0.21043534323959,0.15891276435063,0.476641478202785
"zero",520,7,"sigma_eta",0.303352624435462,0.337549282258446,0.0747145044626047,-0.457697713033744
"zero",520,7,"tau_w",0.105283623468187,0.0829677521089808,0.0654652583722321,0.340881131673223
"zero",520,7,"g_sd",0.0793233269259198,0.0654615020390435,0.0409185460006466,0.338766311165044
"zero",520,7,"h_bar",1.54886202886127,1.52736999522986,0.0813325730995882,0.264248785109682
