"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","scenario"
"mu",-1.49664887759583,-1.50894260192149,0.287725505783826,0.246351370685019,-1.92353864416212,-1.04604382181541,1.00044967040773,9020.04048033961,5638.01631827679,"strong"
"phi",0.939169033547532,0.939637373878711,0.0148476292773183,0.0145025205337398,0.913849706305581,0.962520065428893,1.00077784241136,6292.9989261543,6881.03004202831,"strong"
"sigma_eta",0.308259789844314,0.305049839670581,0.0557871852498489,0.0550073278644952,0.22320408996101,0.404567336066207,1.00058160811483,6056.44807014055,9457.70206571096,"strong"
"nu",22.9395839692451,19.713773820143,13.1703209926414,10.5245659322895,8.4849561760758,48.2692865370462,1.00009911145097,16310.1868560629,12893.3464022485,"strong"
"tau_w",0.296251486700129,0.284081236725454,0.09483014297474,0.0913254721347244,0.16436652901614,0.471696594158913,1.00014283881991,16084.9140165151,12315.7322985964,"strong"
"g_sd",0.367858901881731,0.366185806480644,0.0340750848218603,0.0335799783408036,0.314300786589198,0.427002502384684,1.00005209730121,17097.9610055496,13369.8870215704,"strong"
"h_bar",-1.59030162175121,-1.58735551819498,0.0893069719126279,0.0887831445748637,-1.74076665936411,-1.44683828055377,1.00022788671457,18799.5791473049,14109.5649140857,"strong"
"lp__",-329.680968557674,-329.466035541523,18.0228242653029,17.8316825927846,-359.200596308495,-300.494800350335,1.00081734611706,5038.86567960047,8335.12140110013,"strong"
