"scenario","T","rep","parameter","mean_divergent","mean_all","sd_all","z_shift"
"strong",520,4,"mu",-0.39310728611799,-0.715492415953834,0.248559447987049,1.29701418492304
"strong",520,4,"g_sd",0.356194999675748,0.395874092355089,0.0335609101284427,-1.18230085320938
"strong",520,4,"phi",0.960228315312177,0.947218181892915,0.0127048621942384,1.02402790525048
"strong",520,4,"nu",16.9825952759208,31.8268006316982,14.6944251432225,-1.01019299571743
"strong",520,4,"max_abs_W1",2.45431342115483,2.2000746747484,0.483096816165509,0.526268726886672
"strong",520,4,"sigma_eta",0.246862551781585,0.257711817628987,0.0496620969285371,-0.2184616944994
"strong",520,4,"lp__",-545.235950128911,-548.260045920492,18.088371955416,0.167184520477266
"strong",520,4,"h_bar",-0.757001744693243,-0.749622548109283,0.0755928002314287,-0.0976177170493477
"strong",520,4,"tau_w",0.334577404707634,0.325677569222738,0.0963488105699422,0.0923709948493398
"strong",520,4,"sum_w2",1.23227724385498,1.23991646571223,0.362394518328544,-0.0210798493655033
