"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","scenario"
"mu",1.74663128064342,1.75371699897465,0.221562770990288,0.19341528634872,1.3881880819586,2.08420488721905,1.00059686906939,14919.2033057744,9271.3211664488,"zero"
"phi",0.904883020341016,0.909874047655743,0.0399297936889679,0.0375364411484694,0.831020541207875,0.960820063560334,1.00064588755115,6006.54569128979,9137.73686891664,"zero"
"sigma_eta",0.338776847563022,0.334459687319092,0.0839381975920682,0.0782649475956151,0.2142372446949,0.482015664970198,1.00071715526389,3201.80216969518,2764.61978373382,"zero"
"nu",25.139569897698,22.014377427547,13.7566155025714,11.5314499796288,9.37205851138433,52.089786795681,0.99995712581168,16130.6065181803,10673.0808351171,"zero"
"tau_w",0.0903282839312511,0.0667689087412079,0.080729833443425,0.0621100644777361,0.00656964307377314,0.252206204977799,1.00013629190368,6625.86127335642,9163.39604649484,"zero"
"g_sd",0.0598258140564859,0.0513186157767232,0.0437821995257107,0.0409185034655683,0.00562706051518404,0.144088223751038,1.00038497745468,4687.26161322832,3818.05599683908,"zero"
"h_bar",1.76333627158339,1.76430476847733,0.0865411049590822,0.086057281267048,1.61835851596513,1.90277159350114,1.00024926861954,15249.4043724734,14079.4721887363,"zero"
"lp__",-1163.84247821996,-1163.35035455217,19.1088766069532,18.9855789528538,-1196.23513692942,-1133.20305471535,1.00224856276235,3153.54224187347,5031.45612238653,"zero"
