"time","y","x","h_true","g_true"
1,5.97998364903187,0.376527719017416,2.90052712257211,0.212793538147346
2,4.63797908369946,0.614447540551144,3.2989443625786,0.0919234138241577
3,-4.6639161040144,0.313131330227969,3.4918416481114,0.144126800013216
4,7.78585140036833,0.564351570596492,3.00834850234298,0.0770098017202381
5,0.161542993907688,0.291515001125026,3.14516861035175,0.133717011851633
6,-3.87589788620364,-0.188206772658672,3.27851040659179,0.071850909234042
7,4.96967656952889,-0.46329935366734,3.30019025760184,-0.0467744088558102
8,-9.16030584697031,-0.46826678051189,3.63572685625582,-0.111725519836791
9,-0.859906750933786,-0.390509144536858,3.33095719556987,-0.112835080593591
10,-8.44964123876035,-0.169479562600288,3.23495589064726,-0.0951648195549905
11,8.16596289290911,-0.0152943612627755,3.00980016094405,-0.0421673477512289
12,-2.77907669589408,0.168517626517734,3.06653734856361,-0.00382344124999804
13,2.5163769205116,0.395599551691587,2.73188984225049,0.0419302897489583
14,-3.34285242417377,0.999729132843012,2.57516711868634,0.0963403759411455
15,-2.3812575634572,0.959805058767241,2.53192919809078,0.210331150947808
16,2.67170813550105,0.783244602129712,2.82664571027896,0.204769937510779
17,-6.74804617690071,0.697350958674115,2.30550882788258,0.176395586217247
18,-1.73689866812724,0.74510364071949,2.36104504822125,0.160547332668439
19,2.96830903111392,1.10583926500981,2.38677519467292,0.169511997963372
20,-1.8588244922491,1.28594169396697,2.29476732931806,0.223460204814343
21,-7.7853794267655,0.668468733200665,2.57612908511152,0.239925628395315
22,-4.99906744571888,0.396886725802932,2.652090013575,0.154946254843761
23,-7.06349384044548,0.484597804714204,2.63093919215927,0.0966372360754564
24,5.02149254244965,-0.012164600039108,3.23726552505537,0.116463127414274
25,-1.96239553916627,-0.208136569115671,3.14087414792519,-0.00304107500670567
26,3.50347868914576,-1.0822731983257,2.97202549170232,-0.0516592614907929
27,-0.753017071037309,-0.684824032281126,2.91722050016604,-0.220756737520896
28,-0.321740138459772,-0.545878187248743,3.04787503614911,-0.158134182242169
29,-3.29067977744841,-0.848921512029062,2.61210769137078,-0.129792213096369
30,-2.8585762826717,-0.039992134535739,2.67329428495027,-0.187642046118426
31,2.1594928083339,-0.207125551548059,2.61436705770828,-0.00999536875316719
32,1.28091259044673,-0.520165514096105,2.51100380279105,-0.0514119357685319
33,-5.41898451199602,-0.442436611689973,2.55459333442487,-0.124255941836048
34,4.37915781209879,-0.490136329202212,2.83192053362029,-0.107035681736685
35,-1.32236108552474,-0.870030258045492,2.88046587280543,-0.11768654288301
36,-1.94564317800189,-0.893827196552363,2.64069829922501,-0.191087111966653
37,-4.32510893582766,-0.705780457705772,2.36483003256295,-0.19486873353447
38,0.694089163039084,-0.226106909602564,1.70397626822953,-0.162157009429084
39,-2.06459667096078,0.364725987992724,1.17293700795179,-0.0560463085471614
40,-0.360985741285342,0.17202350049353,1.54298145691472,0.0891733299882341
41,4.23481016447212,0.0153515405651752,1.75613727655535,0.042794083151309
42,-0.625100794480868,0.051138095451863,1.73881794148361,0.00383773439746761
