"scenario","T","rep","parameter","true_value","median","sd","lower_95","upper_95","prob_below_delta","divergences","usable"
"strong",520,1,"mu",0.394013382840998,0.0833619236518574,0.280645604941492,-0.468264264928037,0.65154262586631,NA,0,TRUE
"strong",520,1,"phi",0.95,0.937139235230385,0.0138244133099628,0.910239338731032,0.964292081153522,NA,0,TRUE
"strong",520,1,"sigma_eta",0.25,0.328704383061077,0.0638345671100914,0.218753942552894,0.468405643244969,NA,0,TRUE
"strong",520,1,"nu",10,5.72604501232947,3.8377699670613,3.51984934548535,14.8334173893162,NA,0,TRUE
"strong",520,1,"g_sd",0.584429105263453,0.42159004046615,0.0361105546435605,0.355634172475054,0.497033980572447,0,0,TRUE
"strong",520,1,"h_bar",0.245326256610258,0.0820007485194724,0.124571245346925,-0.157637902085211,0.330759677483734,NA,0,TRUE
"strong",520,2,"mu",-0.782350660952466,-0.695686901581052,0.255659074334875,-1.21537555049254,-0.202613173601946,NA,0,TRUE
"strong",520,2,"phi",0.95,0.924126451613359,0.0133541170033341,0.895788818420708,0.948995538573383,NA,0,TRUE
"strong",520,2,"sigma_eta",0.25,0.372235320279166,0.0718012864205832,0.250084439633629,0.53000103501174,NA,0,TRUE
"strong",520,2,"nu",10,10.8842003925044,9.45527088672998,4.6401923297567,40.0257846889246,NA,0,TRUE
"strong",520,2,"g_sd",0.66370212173186,0.47239120517482,0.0357135285190564,0.404779619472071,0.546596679567071,0,0,TRUE
"strong",520,2,"h_bar",-0.72250812776441,-0.629976275524302,0.116601322545112,-0.877996864284257,-0.424998745337867,NA,0,TRUE
"strong",520,3,"mu",0.137625948350337,-0.0197932279998204,0.224634892610645,-0.462960608171497,0.429647088343158,NA,0,TRUE
"strong",520,3,"phi",0.95,0.92965091258488,0.0133670213975557,0.902632134621572,0.955825255697246,NA,0,TRUE
"strong",520,3,"sigma_eta",0.25,0.286315268318395,0.0615581477938691,0.179469069148746,0.418930435054268,NA,0,TRUE
"strong",520,3,"nu",10,7.6514428998634,6.33862736349594,4.15031744763757,26.8847283039779,NA,0,TRUE
"strong",520,3,"g_sd",0.452592940423244,0.476458549841507,0.0335595788736746,0.416377356890055,0.545769540654085,0,0,TRUE
"strong",520,3,"h_bar",0.253128339811543,0.102808847351919,0.112910423067362,-0.131255531022225,0.311617202975058,NA,0,TRUE
"strong",520,4,"mu",-0.417144506114042,-0.718027468510946,0.248559447987049,-1.19039022602641,-0.203278568215958,NA,2,FALSE
"strong",520,4,"phi",0.95,0.947811078562583,0.0127048621942384,0.920339078641506,0.970476990125491,NA,2,FALSE
"strong",520,4,"sigma_eta",0.25,0.253777737994342,0.0496620969285371,0.173147312909984,0.367590497940268,NA,2,FALSE
"strong",520,4,"nu",10,28.7607402026918,14.6944251432225,12.0147613465503,68.1561992464322,NA,2,FALSE
"strong",520,4,"g_sd",0.4217531998595,0.394331222761903,0.0335609101284427,0.334496723312039,0.465650754625054,0,2,FALSE
"strong",520,4,"h_bar",-0.732449800975558,-0.749908584126693,0.0755928002314287,-0.897333659826525,-0.600280229127315,NA,2,FALSE
"strong",520,5,"mu",-1.33174018424344,-1.28391061506149,0.273576333510133,-1.84942359740625,-0.766774349234124,NA,0,TRUE
