"time","y","x","h_true","g_true"
1,3.68474649183465,0.376527719017416,1.93209491252048,0.100127867153955
2,3.15129084305098,0.614447540551144,2.5260112251482,0.23900087594281
3,-3.62557777070218,0.313131330227969,2.98815804757366,0.374729680034363
4,4.96666188650111,0.564351570596492,2.10922809897918,-0.343611181132708
5,0.117291553015532,0.291515001125026,2.50495144611876,0.347664230814245
6,-3.02876493104966,-0.188206772658672,2.78526555534492,0.186812364008509
7,3.0176746766407,-0.46329935366734,2.30245385509057,-0.575928202682555
8,-5.21518394683275,-0.46826678051189,2.50911644213124,-0.290486351575655
9,-0.311150633505218,-0.390509144536858,1.29786358117687,-1.07564880156825
10,-2.91228024452859,-0.169479562600288,1.10458065066014,-0.294101125868758
11,2.30686973676471,-0.0152943612627755,0.481633889875029,-0.546477140832484
12,-0.833752250088049,0.168517626517734,0.65866188504804,-0.0099409472499949
13,0.778872517754741,0.395599551691587,0.386433777995824,-0.0160440841659156
14,-1.18507389579955,0.999729132843012,0.501128459150247,0.250484977446978
15,-0.962563492691132,0.959805058767241,0.720361228678052,0.369099908094368
16,1.23843306289166,0.783244602129712,1.28890351545044,0.388017313624356
17,-3.74320401859158,0.697350958674115,1.12688668074309,0.458628524164842
18,-0.852103903704521,0.74510364071949,0.936749137919496,-0.144057537850796
19,1.62117904338187,1.10583926500981,1.17709769107197,0.312915609149088
20,-1.25121570685103,1.28594169396697,1.5031100286001,0.580996532517291
21,-5.89620927785361,0.668468733200665,2.02025329883431,0.436124277800163
22,-2.79254032894974,0.396886725802932,1.48749063268363,-0.481571129084263
23,-3.55951523486098,0.484597804714204,1.26030830869073,-0.167624235546274
24,2.20093968429469,-0.012164600039108,1.58757990439395,-0.231123153952034
25,-0.894162646621552,-0.208136569115671,1.56880708828612,-0.00790679501743474
26,1.48978963445361,-1.0822731983257,1.2617825696667,-0.268438476869294
27,-0.280091719804368,-0.684824032281126,0.939278944198761,-0.573967517554329
28,-0.108495395299646,-0.545878187248743,0.873802108422077,-0.453162631800294
29,-1.04753375529974,-0.848921512029062,0.322796559780958,-0.353734063345506
30,-0.766609481070934,-0.039992134535739,0.0410913728554938,-0.644999383202868
