"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","scenario"
"mu",1.16880916425489,1.13948997776086,0.407925469681579,0.24896130558832,0.680069837623842,1.71451671521921,1.00102392355871,3975.66407864515,1763.16059062504,"main"
"phi",0.947641046068803,0.949137809007614,0.0220839401746568,0.0214570545300067,0.908110588194755,0.981417183849675,1.0006205228692,2387.56726303396,1613.36569972806,"main"
"sigma_eta",0.255541938098384,0.253396758424914,0.060675006852661,0.0569117779600006,0.161616384198145,0.35659645667723,1.00141069743868,3404.96574590535,2882.84410846411,"main"
"nu",23.9752041407599,20.7748997830633,13.367842393628,11.0444988975178,8.8948541560838,50.4764871787213,1.00037492990647,15073.3588518031,10995.1070553101,"main"
"tau_w",0.169910113310315,0.153151499072486,0.0808833942459962,0.0702279099661811,0.0708309975706906,0.327107214091202,1.00013340347989,13763.9759328704,13019.9166250524,"main"
"g_sd",0.144562547407171,0.141034063934106,0.0296952281001202,0.0266032489187691,0.102615114899575,0.198975287882255,1.00053735876162,7826.84597252911,6321.13744446061,"main"
"h_bar",1.10958965994044,1.11151131572656,0.088774800870357,0.0869168054758605,0.960924118727508,1.25035559733184,1.00001608505491,15432.5612425689,13350.8832433878,"main"
"lp__",-1002.29178422551,-1001.95779645606,18.8543813227351,18.7994956026138,-1034.13673390963,-971.921928259983,1.00101197503083,3608.24187218649,5974.50979150821,"main"
