Price,Close,High,Low,Open,Volume
Ticker,IQQH.DE,IQQH.DE,IQQH.DE,IQQH.DE,IQQH.DE
Date,,,,,
2013-01-02,2.6697838306427,2.6697838306427,2.632863166400982,2.6386063764916177,8119
2013-01-03,2.7304980754852295,2.7403434944698564,2.6911158127064656,2.695218217326791,14683
2013-01-04,2.7592146396636963,2.7813672766383277,2.7592146396636963,2.7772648712533554,31300
2013-01-07,2.726396322250366,2.756753380362633,2.726396322250366,2.756753380362633,3438
2013-01-08,2.6894752979278564,2.7116277375534548,2.6894752979278564,2.691116103462529,2944
2013-01-09,2.7469077110290527,2.7469077110290527,2.723934672090132,2.723934672090132,500
2013-01-10,2.7510101795196533,2.77316281774253,2.7510101795196533,2.7567533908914656,1712
2013-01-11,2.7304980754852295,2.75675272172432,2.7304980754852295,2.75675272172432,1000
2013-01-14,2.708345890045166,2.7444461542385064,2.708345890045166,2.7362415398485003,19623
2013-01-15,2.7140893936157227,2.719832604747517,2.701782372895121,2.7116279894716024,9767
2013-01-16,2.7017822265625,2.7075254373832336,2.7017822265625,2.7067050345841137,10000
2013-01-17,2.7017822265625,2.703423227774187,2.684552594100299,2.6952186129426465,4085
2013-01-18,2.708345890045166,2.708345890045166,2.700141080041723,2.700141080041723,400
2013-01-21,2.695218563079834,2.7009617737943157,2.694397964682448,2.7009617737943157,1413
2013-01-22,2.6976795196533203,2.6976795196533203,2.6804496947538805,2.6886543080729526,12000
2013-01-23,2.711627244949341,2.711627244949341,2.7075248406310375,2.7075248406310375,245
2013-01-24,2.693578004837036,2.707525832524884,2.691937003385858,2.707525832524884,10965
2013-01-25,2.6361448764801025,2.6500926998496834,2.6361448764801025,2.6500926998496834,6025
2013-01-28,2.607429027557373,2.629581467780911,2.607429027557373,2.629581467780911,2724
2013-01-29,2.615633010864258,2.62547862441502,2.615633010864258,2.62547862441502,700
2013-01-30,2.591019630432129,2.593481034254748,2.591019630432129,2.593481034254748,1325
2013-01-31,2.558201313018799,2.564764926494498,2.558201313018799,2.5614831197566486,1440
2013-02-01,2.5499963760375977,2.5639441996204786,2.5499963760375977,2.5639441996204786,3351
