Price,Close,High,Low,Open,Volume
Ticker,ICLN,ICLN,ICLN,ICLN,ICLN
Date,,,,,
2013-01-02,5.7426276206970215,5.81247013652935,5.688305335013835,5.688305335013835,12600
2013-01-03,5.843511581420898,5.859032181276931,5.719346412532345,5.727106897480507,8900
2013-01-04,5.874551296234131,5.8978320051134165,5.812468542462246,5.812468542462246,26600
2013-01-07,5.820228576660156,5.874550843256778,5.8124680942719955,5.874550843256778,16800
2013-01-08,5.750386714935303,5.835750185843234,5.719345520067006,5.835750185843234,19800
2013-01-09,5.859030723571777,5.859030723571777,5.804708452570697,5.820229048565263,4600
2013-01-10,5.9599151611328125,5.9599151611328125,5.897832769356467,5.897832769356467,15400
2013-01-11,5.944393634796143,5.9754348258363175,5.944393634796143,5.9754348258363175,11200
2013-01-14,5.905594348907471,6.014238554670883,5.8978338634756415,5.952156151377505,42900
2013-01-15,5.874551296234131,5.913352601046339,5.859030700301209,5.8978320051134165,13600
2013-01-16,5.827990531921387,5.874552327897131,5.8202300475719655,5.8202300475719655,21600
2013-01-17,5.89783239364624,5.921113474099415,5.8900722801886625,5.8900722801886625,49300
2013-01-18,5.859030723571777,5.897832028538094,5.859030723571777,5.89007191556091,31300
2013-01-22,5.859030723571777,5.89007191556091,5.835749644559829,5.859030723571777,16700
2013-01-23,5.8823113441467285,5.890071827047489,5.835749556862741,5.85127015262407,35200
2013-01-24,5.85127067565918,5.874551756402326,5.804708884213112,5.866791272807869,9900
2013-01-25,5.812469482421875,5.812469482421875,5.750387088650573,5.812469482421875,9500
2013-01-28,5.727106094360352,5.758147289719466,5.703825012820896,5.758147289719466,17400
2013-01-29,5.719344615936279,5.734865210916887,5.703824020955672,5.703824020955672,11400
2013-01-30,5.750386714935303,5.804708990974937,5.696064808935899,5.742626601238345,12600
2013-01-31,5.680543422698975,5.6960640179779265,5.63398163686212,5.680543422698975,8900
2013-02-01,5.672783374786377,5.719345164191603,5.649502665103868,5.6572627783179685,21000
2013-02-04,5.548618793487549,5.649502859015011,5.548618793487549,5.626221778493203,15100
2013-02-05,5.610701560974121,5.633982643070554,5.525338086674197,5.5408586847250705,15400
2013-02-06,5.641741752624512,5.649502235288401,5.6029400793854265,5.6029400793854265,30800
2013-02-07,5.657264232635498,5.665024717884801,5.633983516968197,5.649504117426499,3200
2013-02-08,5.579660415649414,5.626222210225762,5.571899931533231,5.626222210225762,111500
2013-02-11,5.641741752624512,5.680543425863598,5.610700562049316,5.610700562049316,3700
2013-02-12,5.727106094360352,5.727106094360352,5.626222024423107,5.626222024423107,3700
2013-02-13,5.703824043273926,5.742625715897356,5.696063930773344,5.742625715897356,17600
