Price,Close,High,Low,Open,Volume
Ticker,TAN,TAN,TAN,TAN,TAN
Date,,,,,
2013-01-02,14.414066314697266,14.414066314697266,14.080489391593172,14.159493086420063,83400
2013-01-03,15.923940658569336,16.029281689838697,14.993435192102018,14.993435192102018,304700
2013-01-04,16.038063049316406,16.204850672638404,15.985391687314443,16.134623864308306,219500
2013-01-07,15.651814460754395,16.204850356264384,15.599144774119907,16.204850356264384,115800
2013-01-08,15.853715896606445,15.906387256168546,15.537696110929367,15.757155086087472,113800
2013-01-09,16.72277069091797,16.749106366688856,16.11706521723717,16.178513453030394,324600
2013-01-10,16.687660217285156,17.03001567341576,16.512092372206403,16.880783507400537,194700
2013-01-11,16.643770217895508,16.766668399854538,16.538430832604156,16.65254877905968,86400
2013-01-14,16.345304489135742,16.67888138002711,16.16095808743704,16.64376714186011,68700
2013-01-15,16.354080200195312,16.459421232794316,16.1609569271592,16.327746197799744,56000
2013-01-16,16.081953048706055,16.266299454105056,15.959056561332762,16.213628095797304,85500
2013-01-17,16.204851150512695,16.389197574277496,16.16973858248178,16.248743953475376,98600
2013-01-18,15.950281143188477,16.231188412134504,15.932724020294502,16.17851871779197,40100
2013-01-22,16.555986404418945,16.573541850763828,16.055620185297343,16.099511312668326,93500
2013-01-23,16.60865592956543,16.872006039892,16.55598624236795,16.75788810524093,107600
2013-01-24,16.54720687866211,16.88078378050155,16.459422954702546,16.69643904709164,78400
2013-01-25,16.16095733642578,16.389194850887844,16.0907305376943,16.389194850887844,67200
2013-01-28,15.783491134643555,16.134625205481697,15.686930311625142,16.134625205481697,134400
2013-01-29,15.713260650634766,16.00294640071237,15.660590970894908,15.844935687153873,68200
2013-01-30,15.537697792053223,15.818605042754507,15.511362109422745,15.634258613019735,79500
2013-01-31,15.730819702148438,15.739598262240548,15.362128549975461,15.406019676096879,66300
2013-02-01,15.871274948120117,16.002950014373056,15.765933890514182,15.932723200748867,51700
2013-02-04,15.607921600341797,16.23118423357032,15.54647168603258,15.678148399499081,106900
2013-02-05,15.985390663146973,16.19607274897827,15.660592323306949,15.660592323306949,98500
2013-02-06,16.213624954223633,16.239960628274673,15.976610585119229,16.064392816611882,60900
2013-02-07,16.002948760986328,16.345305915636956,15.888830825662236,16.327748795021197,54800
2013-02-08,15.774709701538086,15.95905610162693,15.713261459621476,15.871272181315051,52500
2013-02-11,16.36286163330078,16.41553299602165,15.80104715899184,15.80104715899184,106400
2013-02-12,16.933454513549805,17.06512955745235,16.4067526636006,16.4067526636006,269800
2013-02-13,17.179250717163086,17.51282934382336,17.117802463393915,17.28459177672405,344800
2013-02-14,17.837623596191406,17.960520075214557,17.100241373374608,17.170468172007688,393400
2013-02-15,17.460155487060547,17.925409116072498,17.31092331732759,17.784955506246078,240500
2013-02-19,18.285324096679688,18.33799378868173,17.61816852540964,17.61816852540964,304300
2013-02-20,17.705949783325195,18.794466074634354,17.705949783325195,18.460889176627948,257900
2013-02-21,16.854450225830078,17.55671828759836,16.555985880993777,17.504048601550522,420700
2013-02-22,16.977346420288086,17.21436251485502,16.9158981752535,17.161691155391853,203300
2013-02-25,16.397977828979492,17.363597827508706,16.397977828979492,17.363597827508706,145800
2013-02-26,16.204851150512695,16.678883376474268,15.950279590686067,16.60865656607321,180100
2013-02-27,16.06439781188965,16.10829061562333,15.370908256290106,15.739599435956718,356800
2013-02-28,15.757156372070312,16.406754790633038,15.713263568853021,16.204851244511982,219000
2013-03-01,15.590365409851074,15.76593158102388,15.449911803177205,15.607922529270075,177800
2013-03-04,15.449912071228027,15.704483609863999,15.362128146949072,15.47624607647435,123700
2013-03-05,15.827383041381836,16.00294922966371,15.651815178760735,15.651815178760735,141600
2013-03-06,16.046844482421875,16.239967821318587,15.985394549085235,16.0995141795138,166100
2013-03-07,16.310190200805664,16.494536601937394,16.16095803773294,16.485758042422642,203500
2013-03-08,16.283855438232422,16.48575896975078,16.099510701070276,16.37163936397878,99500
2013-03-11,15.880051612854004,16.117067708410417,15.783489127774182,16.117067708410417,139600
2013-03-12,16.07317543029785,16.108289671226117,15.66937170565777,15.78348963999631,61500
2013-03-13,15.256790161132812,15.792270699665027,15.204120465743564,15.739601004275778,193100
2013-03-14,15.335792541503906,15.590365755709694,15.107555007010854,15.388463900929374,423000
2013-03-15,15.09000015258789,15.283123455028237,15.054885911595555,15.274344894780153,98100
2013-03-18,14.519407272338867,14.721309136990262,14.466735910338274,14.721309136990262,125300
2013-03-19,14.536962509155273,14.721308924822127,14.405287454729896,14.545741069362187,140800
2013-03-20,15.037327766418457,15.072442005018022,14.677415192468189,14.738865110017427,98400
2013-03-21,14.738865852355957,15.05488564397344,14.738865852355957,14.975880277484286,50300
2013-03-22,14.703752517700195,14.86176326041155,14.65986138887559,14.835427578513244,65700
2013-03-25,13.940033912658691,14.589633101868921,13.843472266977896,14.545740303146468,139500
2013-03-26,14.071709632873535,14.080488192515439,13.931255190111656,14.010260552549736,46500
2013-03-27,14.010259628295898,14.03659446831478,13.878584591032022,14.001481069233114,56800
2013-03-28,14.045374870300293,14.150715918536775,13.992704346182052,14.02781774987102,78500
2013-04-01,13.843473434448242,14.124380672605596,13.773245787739297,14.124380672605596,109100
2013-04-02,13.782024383544922,13.94003512399819,13.694241289980578,13.878586874786189,35600
2013-04-03,13.439667701721191,13.825915120870274,13.404554299980365,13.729353475375387,76900
2013-04-04,13.588900566101074,13.60645768753932,13.395777253298132,13.430890659004998,35400
2013-04-05,13.439667701721191,13.457223984006838,13.167538210352642,13.307991817315946,88400
2013-04-08,13.825916290283203,13.878586815934147,13.54500905259712,13.63279214578922,192200
2013-04-09,15.844938278198242,16.21362944534534,13.940035030831028,13.966369875007363,569300
2013-04-10,15.72204303741455,15.888832350593537,15.546475163085162,15.783491291128035,263500
