Date,week_end,split,Close,daily_log_return,daily_squared_return
2016-01-07,2016-01-13,train,4.271565437316895,-3.444885293330824,11.867234684206997
2016-01-08,2016-01-13,train,4.140671253204346,-3.11224598598403,9.686075077273708
2016-01-11,2016-01-13,train,4.105595111846924,-0.8507208317152681,0.7237259335143176
2016-01-12,2016-01-13,train,4.103029251098633,-0.06251621997568346,0.003908277760048044
2016-01-13,2016-01-13,train,4.050842761993408,-1.2800593780506908,1.6385520113355214
2016-01-14,2016-01-20,train,3.904551029205322,-3.678214548513137,13.529262264893699
2016-01-15,2016-01-20,train,3.743713855743408,-4.2064675091152415,17.694368905242182
2016-01-18,2016-01-20,train,3.7574031352996826,0.3649935008353644,0.13322025565205517
2016-01-19,2016-01-20,train,3.8189990520477295,1.6260296739310842,2.643972500504428
2016-01-20,2016-01-20,train,3.6051220893859854,-5.763272317860335,33.215307809815236
2016-01-21,2016-01-27,train,3.724893093109131,3.2682514738478385,10.68146769630857
2016-01-22,2016-01-27,train,3.8224222660064697,2.584617112697507,6.680245619248798
2016-01-25,2016-01-27,train,3.796756029129028,-0.6737297112158203,0.45391172377495254
2016-01-26,2016-01-27,train,3.830120325088501,0.874919357324444,0.7654838818210182
2016-01-27,2016-01-27,train,3.871185064315796,1.066445916467118,1.1373068927493915
2016-01-28,2016-02-03,train,3.771946668624878,-2.596945241735771,6.744124588574061
2016-01-29,2016-02-03,train,3.961014747619629,4.890901592044128,23.920918383059785
2016-02-01,2016-02-03,train,3.949892997741699,-0.281175247222043,0.07905951965037701
2016-02-02,2016-02-03,train,3.861774682998657,-2.2561649113534976,5.0902801072227355
2016-02-03,2016-02-03,train,3.787345409393311,-1.9461486252534632,3.7874944715759447
2016-02-04,2016-02-10,train,3.809588432312012,0.5855806287757837,0.34290467279744213
2016-02-05,2016-02-10,train,3.734304189682007,-1.9959653655214238,3.983877740361071
2016-02-08,2016-02-10,train,3.578601360321045,-4.258946403111885,18.138624464579664
2016-02-09,2016-02-10,train,3.533259153366089,-1.2751324702974909,1.6259628168069815
2016-02-10,2016-02-10,train,3.535825252532959,0.07260061225018433,0.005270848899101614
2016-02-11,2016-02-17,train,3.389533042907715,-4.2254557572046325,17.854476356093773
2016-02-12,2016-02-17,train,3.43744158744812,1.4035303656315223,1.9698974872497548
2016-02-15,2016-02-17,train,3.554647207260132,3.352834976069774,11.241502376756802
2016-02-16,2016-02-17,train,3.578601360321045,0.6716222735506427,0.4510764783293344
2016-02-17,2016-02-17,train,3.699228286743164,3.3152184143544705,10.990673134874969
2016-02-18,2016-02-24,train,3.689816951751709,-0.254737649505854,0.06489127007576731
2016-02-19,2016-02-24,train,3.661585807800293,-0.7680515856639092,0.5899032382408452
2016-02-22,2016-02-24,train,3.759968519210816,2.651425042244071,7.030054754638974
2016-02-23,2016-02-24,train,3.700939178466797,-1.5823965358102487,2.503978796544276
2016-02-24,2016-02-24,train,3.681262254714966,-0.5330922091287604,0.28418730343378207
2016-02-25,2016-03-02,train,3.747991561889648,1.796441564310558,3.2272022939825646
